,0_action,0_amount,1_amount,1_contract_address,2_amount,2_contract_address,3_contract_address,block_timestamp,event_index,from_,msg_index,to_,tx_id,bonded,minted
451,burn_from,65.90916,65.90916,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,65.90916,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:18:49.784,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,0CB1606266E0DCBB9E10A2F38DF8E7135172DB5A97703360DA6586273D2FD726,,
452,bond_split,1000.0,1000.0,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,1000.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-18 06:11:54.558,4,terra1gz8nzfxu0dzga44tasakua5tf4pfxec74wgntu,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,0A2305441710535CBCB2C3D96DEC20285CB4E829C3911C4A50537C8AC4CC2319,1000.0,1000.0
453,burn_from,62.484123,62.484123,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,62.484123,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:01:53.795,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,B490CEC10198145DCF94FB556FB3908B4FC8A89C40414CAE6847DC1A4267F3C9,,
454,burn_from,5.604428,5.604428,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,5.604428,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:00:23.256,1,terra1vzqwvratn73qnpsyj9tut872n0z54f4ctcrfn8,2,terra1vzqwvratn73qnpsyj9tut872n0z54f4ctcrfn8,E2674BDFB221241D50347DC3F811FD5209AA677DAE5A25F2D31277AD3FD8AB8C,,
455,bond_split,0.7811,0.7811,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,0.7811,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-18 06:21:28.275,4,terra1csavfzx9wv78uq7hukcqw25h5tk5z46hc40q5z,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,EF889296471358AF7B6A08D4A1C3976F1CA6EA7DCEF1FDDAAF7B50D3735FD4FF,0.7811,0.7811
456,burn_from,65.080857,65.080857,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,65.080857,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:05:20.545,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,6D3D525ECDF13A963A936780C87B0812C3A4A1A4D15C3B7C7FE09C8CECAFCF70,,
457,burn_from,44.133763,44.133763,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,44.133763,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 08:54:12.278,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,FB4762E34C297C09EA2E3CED9BEECAD1FC9478980D6E525B340BC6BAA4F3F14D,,
458,bond_split,2.708747,2.708747,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,2.708747,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-17 08:40:18.726,4,terra10yxtmqx0edwzm4f5y69pstzhpxa47amp0em3s5,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,37AB63949477459DFA06B60056027A9A2C19FF65EEA0F1246E78F2CC9848D389,2.708747,2.708747
459,burn_from,35.509497,35.509497,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,35.509497,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 08:55:42.565,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,06983DA6F674C6B14DB325479EEB7AB854337DA84662843972BE1C3A66D4CEC6,,
460,burn_from,31.724747,31.724747,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,31.724747,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 08:55:42.565,1,terra1kqtavayga96he2ppspkf6exn964dmxtl89q4kj,4,terra1kqtavayga96he2ppspkf6exn964dmxtl89q4kj,EBCF61B523E1E18F96C033D114E883B3C0FC03ECA0328182B57BDBE72543B90C,,
461,bond_split,3.102036,3.102036,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,3.102036,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-17 06:38:15.214,4,terra1y9x8xkq6w7jela5srx90h3k239ahqkfmwgf3fv,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,064291946AF22FE1B621B8E00F6B5C887C2A89C580B0613A3B5B1C9489729310,3.102036,3.102036
462,burn_from,42.042529,42.042529,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,42.042529,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-17 06:43:01.206,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,1A2761D294965F8EFCC31AE0AD3876729DF5666024F891BA2957CD016C570E0D,,
