,ask_asset,block_timestamp,event_index,from_,msg_index,offer_amount,offer_asset,price,return_amount,sender,to_,tx_id
9628,xPRISM,2022-02-15 12:08:56.191,1,,0,35.57148,PRISM,0.9946472477,35.76291,terra1ce7mdxujdc78w4y8a5tg3duhnwwcr8zp3fgvly,,CB764ECC4CF22412255CB2A1396C98CAF06A465D8216C64C2A22F3C7E6E4B3E6
9629,PRISM,2022-02-15 15:43:04.214,1,,0,65.0,xPRISM,1.02086656,63.671397,terra16xrn2lw0czkqkh2aup24vyjmj5r3hu25scxh8e,,3944F86E012F24CF9A8FD3CBE2C94B564C4DA89C8316AFEE9D06D62B2A6C67C1
9630,yLUNA,2022-02-15 15:57:22.809,1,,0,1056.041058,PRISM,80.245116351,13.160191,terra1x5rutmkr9q6cvr4mhapy0x3aav9jq3qt8n8j0k,,3606550C2D1C6D6A85195E5D58B9ED0DC8EB546B441079460F3F9D2BD8E2AD31
9631,yLUNA,2022-02-15 16:54:35.820,1,,0,4107.353175,PRISM,76.176233223,53.91909,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,,E6C1D7D7C4D0BBECCCBEDEE6AB90869A897D0803AC823916A5B5DA8BAC567730
9632,,2022-02-15 23:18:21.799,1,,0,,,,,terra1pgxfx892d3243fvlc58n3g86cteantssy4hjsz,,2A9D86485A1CF448F11F2818CE3FD658A4B87D6DC100DBFC24F5D9F82DA10796
9633,UST,2022-02-15 16:03:46.725,3,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,8,1238.489403,PRISM,2.111632155,586.508119,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,D41523F5BF4AF7B4C813A4515F508127B92674A2353E45D3165E691F4D6E1FF2
9634,,2022-02-15 17:26:11.604,3,,0,,,,,terra1nk2vkmf57zcd5m5yechlj95llkzfu5e95rhn3m,,456AF48FB78F30E1CC05ABE9D210DB5985509B79DE83C96C25AC772F04409989
9635,PRISM,2022-02-15 23:37:00.022,1,,0,0.9931709999999999,xPRISM,1.012625562,0.980788,terra1r2g798z9q4upfc373l4rkp9p7kugd8gjspx0ec,,6274040C3EEC90836B8F79894E05285E657265801B619B0607815FB688423D19
9636,UST,2022-02-15 22:48:31.394,3,terra18xe77cuksxc4u9e43kmp87nvfnr92qlsj6u3kp,0,7256.503057,PRISM,2.145112324,3382.807965,terra18xe77cuksxc4u9e43kmp87nvfnr92qlsj6u3kp,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,65A3863E2AE7E07CAECDFDBC603C77D11F85445ADFAB6B53E696EA40CE87B174
9637,yLUNA,2022-02-15 18:51:22.508,1,,0,2663.247093,PRISM,79.514721951,33.493761,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,,08933EB3D75208200DEF9160D3D89FAFA480ED5983965914E45D1F80A0DB1B42
